Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Размер скидки, %;Наличие на складе
Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО;Журавлев Антон Евгеньевич;Лань: Компьютеры и программное обеспечение;2816;0;0;Ограничено
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов;Кудинов Юрий Иванович и др.;Лань: Компьютеры и программное обеспечение;3041;0;0;На складе
Мультимедийные технологии. Учебник для СПО;Катунин Геннадий Павлович;Лань: Компьютеры и программное обеспечение;4589;0;0;Ограничено
Swift. Основы разработки приложений под iOS, iPadOS и macOS;Усов Василий;Питер: Библиотека программиста;2116;2713;22;На складе
ZBrush для начинающих;Альба Рубен и др.;ДМК-Пресс;2512;4187;40;На складе
Потоковая обработка данных с Apache Flink;Уэске Фабиан, Калаври Василики;ДМК-Пресс;1676;2793;40;На складе
Система модулей Java;Парлог Николай;Питер: Для профессионалов;2558;3279;22;На складе
"Проект ""Феникс"". Как DevOps устраняет хаос и ускоряет развитие компании";Ким Джин и др.;Бомбора: Бизнес. Лучший мировой опыт;1062;1455;27;На складе
Основы информационной безопасности предприятия. Учебное пособие;Гришина Наталия Васильевна;ИНФРА-М: Высшее образование: Специалитет;1291;2151;40;На складе
Системный анализ информационных комплексов. Учебное пособие;Волкова Виолетта Николаевна;Лань: Учебники для вузов. Специальная литература;3259;0;0;Ограничено
Числовые расчеты в Excel. Учебное пособие для СПО;Васильев Алексей Николаевич;Лань: Компьютеры и программное обеспечение;2805;0;0;Ограничено
Игровой движок. Программирование и внутреннее устройство;Грегори Джейсон;Питер: Для профессионалов;5460;7000;22;На складе
Принципы юнит-тестирования;Хориков Владимир;Питер: Для профессионалов;1413;1811;22;На складе
Простой Python. Современный стиль программирования;Любанович Билл;Питер: Бестселлеры O`Reilly;2043;2619;22;На складе
Когерентные оптические сети. Учебное пособие. СПО;Фокин Владимир Григорьевич;Лань: Компьютеры и программное обеспечение;2800;0;0;На складе
Kotlin. Сборник рецептов. Предметный подход;Коузен Кен;ДМК-Пресс;1676;2793;40;На складе
Анализ данных в Tableau на практике;Слипер Райан;ДМК-Пресс;3685;6141;40;На складе
Олимпиадное программирование;Лааксонен Антти;ДМК-Пресс;1758;2930;40;На складе
Информационные технологии. Практикум с примерами решения задач. Учебно-практическое пособие;Япарова Юлия Алексеевна;Кнорус: Среднее профессиональное образование;1219;2032;40;Ограничено
Информационные технологии в туристской индустрии (для бакалавров). Учебник;Морозов Михаил Анатольевич, Морозова Наталья Степановна;Кнорус;1097;1828;40;На складе
Алгоритмы и структуры данных. Учебное пособие;Мясникова Нелли Александровна;Кнорус: Бакалавриат;1219;2032;40;На складе
Информатика в строительстве (с основами математического и компьютерного моделирования);Акимов Павел Алексеевич и др.;Кнорус: Бакалавриат и магистратура;1121;1869;40;Ограничено
Планшет для тех, кто ни бум-бум в компьютерах;Левина Любовь Тимофеевна;АСТ: Энциклопедия ржавого чайника;299;409;27;Ограничено
Компьютерная графика в САПР. Учебное пособие;Приемышев Александр Владимирович и др.;Лань: Учебники для вузов. Специальная литература;2429;0;0;Ограничено
Информационные технологии в профессиональной деятельности средних медицинских работников. Уч. пос.;Дружинина Ирина Владимировна;Лань: Учебники для вузов. Специальная литература;711;0;0;Ограничено
Инфокоммуникационные системы и сети. Учебник для СПО;Цехановский Владислав Владимирович и др.;Лань: Компьютеры и программное обеспечение;2468;0;0;На складе
Компьютерная арифметика. Учебное пособие. СПО (+CD);Иорданский Михаил Анатольевич;Лань: Компьютеры и программное обеспечение;1525;0;0;Ограничено
Программирование. Практикум. Учебное пособие;Быкадорова Елена Анатольевна;Лань: Компьютеры и программное обеспечение;708;0;0;Ограничено
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие;Иванько Александр Федорович, Иванько Михаил Александрович;Лань: Компьютеры и программное обеспечение;980;0;0;На складе
SimInTech моделирование в электроприводе;Калачёв Юрий Николаевич;ДМК-Пресс;1340;2233;40;На складе
Проектирование и реализация систем управления базами данных;Сьоре Эдвард;ДМК-Пресс;2512;4187;40;На складе
Распределенные системы;Таненбаум Эндрю, Стин ван Мартен;ДМК-Пресс;3184;5306;40;На складе
Учебник-самоучитель по трехмерной графике в Blender 3D. Моделирование, дизайн, анимация, спецэффекты;Серова Мария Николаевна;Солон-пресс: Библиотека студента;1094;1824;40;На складе
Информатика. Практикум в среде Microsoft Office 2016/2019. Учебное пособие для СПО;Журавлев Антон Евгеньевич;Лань: Компьютеры и программное обеспечение;2001;0;0;На складе
Информатика. Лабораторный практикум. Учебное пособие;Галыгина Ирина Владимировна, Галыгина Лилия Владимировна;Лань: Компьютеры и программное обеспечение;1857;0;0;Ограничено
Алгебра и геометрия с примерами на Python. Учебное пособие;Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич;Лань: Компьютеры и программное обеспечение;5873;0;0;Ограничено
Инфокоммуникационные системы. Аппаратное обеспечение. Учебник;Журавлев Антон Евгеньевич и др.;Лань: Компьютеры и программное обеспечение;3442;0;0;Ограничено
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие;Журавлев Антон Евгеньевич;Лань: Компьютеры и программное обеспечение;1857;0;0;На складе
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие;Журавлев Антон Евгеньевич и др.;Лань: Компьютеры и программное обеспечение;2408;0;0;Ограничено
Современные технологии интеллектуального анализа данных. Учебное пособие;Макшанов Андрей Владимирович и др.;Лань: Компьютеры и программное обеспечение;2077;0;0;Ограничено
Символьные вычисления в MatLab. Учебное пособие;Ревинская Ольга Геннадьевна;Лань: Компьютеры и программное обеспечение;3714;0;0;Ограничено
Компьютер с нуля. Самоучитель для тех, кто никогда не работал на компьютере;Жуков Иван;АСТ: Современный самоучитель;394;540;27;На складе
Защита информации и информационная безопасность;Сычев Юрий Николаевич;ИНФРА-М: Высшее образование. Бакалавриат;1484;2473;40;На складе
Информатика;Гуриков Сергей Ростиславович;ИНФРА-М: Среднее профессиональное образование;4113;6855;40;На складе
The Scrum Fieldbook;Sutherland J. J.;Random House;1985;2835;30;Ограничено
Procreate. Учимся создавать шедевры на Ipad. Единственный гид по цифровой живописи;Уличнэй Макс и др.;Бомбора: Учимся рисовать на компьютере и планшете;1680;2302;27;На складе
Python и машинное обучение. Машинное и глубокое обучение с использованием Python, scikit-learn;Рашка Себастьян, Мирджалили Вахид;Диалектика;4840;8066;40;На складе
Прикладное машинное обучение с помощью Scikit-Learn, Keras и TensorFlow. Концепции, инструменты;Жерон Орельен;Диалектика;6451;10752;40;На складе
Принципы организации распределенных баз данных;Ёсу Тамер, Вальдуриес Патрик;ДМК-Пресс;2848;4746;40;На складе
Hello World! Программирование для детей и взрослых;Сэнд Уоррен, Сэнд Картер;ДМК-Пресс;1841;3069;40;На складе
Базы данных и их безопасность;Полищук Юрий Владимирович, Боровский Александр Сергеевич;ИНФРА-М: Среднее профессиональное образование;1532;2554;40;Ограничено
Методология создания информационных систем. Учебное пособие;Карминский Александр Маркович, Черников Борис Васильевич;ИНФРА-М: Среднее профессиональное образование;1855;3092;40;На складе
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие";Дадян Эдуард Григорьевич;ИНФРА-М: Среднее профессиональное образование;2226;3710;40;На складе
Методы защиты информации. Защита от внешних вторжений. Учебное пособие;Никифоров Сергей Николаевич;Лань: Компьютеры и программное обеспечение;1198;0;0;Ограничено
Статистическая обработка информации. Основы теории и компьютерный практикум. Учебное пособие. (+CD);Трушков Александр Сергеевич;Лань: Компьютеры и программное обеспечение;1966;0;0;Ограничено
Основы локальных компьютерных сетей. Учебное пособие для СПО;Сергеев Алексей Николаевич;Лань: Компьютеры и программное обеспечение;2592;0;0;На складе
Проектирование информационных систем. Учебное пособие. СПО;Вейцман Владимир Моисеевич;Лань: Компьютеры и программное обеспечение;3190;0;0;На складе
Создание сайтов на основе WordPress. Учебное пособие для СПО;Сергеев Алексей Николаевич;Лань: Компьютеры и программное обеспечение;1255;0;0;На складе
Информатика. Курс лекций. Учебник. СПО;Логунова Оксана Сергеевна;Лань: Компьютеры и программное обеспечение;1899;0;0;Ограничено
Hello World. Как быть человеком в эпоху машин;Фрай Ханна;Corpus: Книги политеха;902;1236;27;На складе
Оптимальное проектирование ассемблерных программ матем. алгоритмов: теория, инженерные методы;Максимов Александр Викторович;Лань: Учебники для вузов. Специальная литература;2844;0;0;Ограничено
Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем;Мицуфуджи Акио и др.;ДМК-Пресс;2512;4187;40;На складе
Современный JavaScript для нетерпеливых;Хорстман Кэй С.;ДМК-Пресс;1841;3069;40;На складе
Цветокоррекция. Творческие стили для кино и видео;Хуркман Алексис Ван;ДМК-Пресс;1676;2793;40;На складе
Инфокоммуникационные системы. Учебник;Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович;Лань: Компьютеры и программное обеспечение;4220;0;0;На складе
Инфокоммуникационные системы. Учебник;Журавлев Антон Евгеньевич и др.;Лань: Компьютеры и программное обеспечение;4093;0;0;На складе
Системный анализ в управлении. Учебное пособие;Клименко Игорь Семенович;Лань: Компьютеры и программное обеспечение;2601;0;0;Ограничено
Игра как бизнес. От мечты до релиза;Савченко Алексей;Бомбора: Российский компьютерный бестселлер;1117;1530;27;На складе
Все о смартфонах и планшетах в одной книге;Леонтьев Виталий Петрович;Эксмо: Компьютерные книги Виталия Леонтьева;564;773;27;На складе
Управление данными в транспортных системах;Гвоздева Валентина Александровна;ИНФРА-М: Высшее образование. Бакалавриат;1694;2823;40;На складе
Программирование на Rust. Официальный гайд;Клабник Стив, Николс Кэрол;Питер: Для профессионалов;3416;4379;22;На складе
Вероятностные графовые модели. Принципы и приложения;Сукар Луис Энрике;ДМК-Пресс;2345;3908;40;На складе
ИнновацииSQL SERVER 2019;Уорд Боб;ДМК-Пресс;2177;3628;40;На складе
Информатика. Учебник;Гуриков Сергей Ростиславович;ИНФРА-М: Высшее образование. Бакалавриат;3468;5780;40;Ограничено
Проектирование информационных систем. Учебное пособие;Коваленко Владимир Васильевич;Форум: Высшее образование: Бакалавриат;2597;4328;40;На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений;Черный Борис;Питер: Бестселлеры O`Reilly;1700;2179;22;На складе
Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services;Феррари Альберто, Руссо Марко;ДМК-Пресс;3434;5723;40;На складе
Практикум по основам современной информатики. СПО;Кудинов Юрий Иванович и др.;Лань: Компьютеры и программное обеспечение;2331;0;0;На складе
Основы современной информатики. Учебное пособие. СПО;Кудинов Юрий Иванович, Пащенко Федор Федорович;Лань: Компьютеры и программное обеспечение;2291;0;0;Ограничено
"Ноутбук. Самоучитель для новичков. Все подробно и ""по полочкам""";Жуков Иван;АСТ: Современный самоучитель;394;540;27;На складе
Дизайн-проекты. От идеи до воплощения;Аббасов Ифтихар Балакиши оглы и др.;ДМК-Пресс;1676;2793;40;На складе
Модельное проектирование электромеханических мехатронных модулей движения в среде SimInTech;Герман-Галкин С. Г. и др.;ДМК-Пресс;2680;4466;40;На складе
Хаос-инжиниринг;Розенталь Кейси, Джонс Нора;ДМК-Пресс;1676;2793;40;На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW;Кехтарнаваз Насер, Ким Намджин;ДМК-Пресс;1508;2513;40;На складе
Компьютерное зрение. Анализ и обработка изображений;Селянкин Владимир Васильевич;Лань: Учебники для вузов. Специальная литература;2585;0;0;Ограничено
Инженерная и компьютерная графика. Учебник;Кувшинов Николай Сергеевич, Скоцкая Татьяна Николаевна;Кнорус: Бакалавриат;1219;2032;40;Ограничено
Системы поддержки принятия решений. Учебное пособие;Макшанов Андрей Владимирович и др.;Лань: Компьютеры и программное обеспечение;1479;0;0;На складе
Системы поддержки принятия решений. Учебное пособие;Макшанов Андрей Владимирович и др.;Лань: Компьютеры и программное обеспечение;876;0;0;На складе
Базы данных. Учебник;Кумскова Ирина Александровна;Кнорус: Среднее профессиональное образование;1342;2237;40;Ограничено
Спортивное программирование. Новый нижний предел соревнований по программированию;Халим Стивен, Халим Феликс;ДМК-Пресс;2680;4466;40;На складе
Python и наука о данных для чайников;Мюллер Джон Пол, Массарон Лука;Диалектика;2474;4123;40;На складе
Мобильные приложения и полезные сайты для ржавых чайников;Левина Любовь Тимофеевна;АСТ: Для ржавых чайников;442;605;27;На складе
Криптография - наука о тайнописи. Учебное пособие;Фомичев Владимир Михайлович;Прометей;370;672;45;На складе
Искусство тестирования программ;Сандлер Кори и др.;Диалектика;3227;5378;40;Ограничено
Системы геометрического моделирования. Разработка и реализация;Николаев Прокопий Михайлович;Спутник+;763;1271;40;На складе
Архитектурные решения информационных систем. Учебник;Водяхо Александр Иванович и др.;Лань: Среднее профессиональное образование;4312;0;0;На складе
Методы MS EXCEL для решения инженерных задач. Учебное пособие;Бильфельд Николай Валентинович, Фелькер Мария Николаевна;Лань: Среднее профессиональное образование;1640;0;0;На складе
Методы защиты информации. Защита от внешних вторжений. Учебное пособие;Никифоров Сергей Николаевич;Лань: Среднее профессиональное образование;777;0;0;Ограничено
Методы защиты информации. Защищенные сети. Учебное пособие;Никифоров Сергей Николаевич;Лань: Среднее профессиональное образование;790;0;0;На складе
Методы защиты информации. Пароли, скрытие, шифрование. Учебное пособие. СПО;Никифоров Сергей Николаевич;Лань: Среднее профессиональное образование;1047;0;0;Ограничено
Методы защиты информации. Шифрование данных. Учебное пособие;Никифоров Сергей Николаевич;Лань: Среднее профессиональное образование;1926;0;0;На складе
Моделирование объектов управления в MatLab. Учебное пособие;Тугашова Лариса Геннадьевна, Затонский Андрей Владимирович;Лань: Среднее профессиональное образование;2161;0;0;Ограничено
Прикладное программирование. Учебное пособие;Никифоров Сергей Николаевич;Лань: Среднее профессиональное образование;1071;0;0;Ограничено
Распределенные информационные системы. Учебник;Цехановский Владислав Владимирович, Чертовской Владимир Дмитриевич;Лань: Высшее образование;3852;0;0;На складе
Распределенные информационные системы. Учебник;Цехановский Владислав Владимирович, Чертовской Владимир Дмитриевич;Лань: Среднее профессиональное образование;2490;0;0;На складе
Сетевое и системное администрирование. Демонстрационный экзамен КОД 1.1. Учебно-методическое пособие;Уймин Антон Григорьевич;Лань: Среднее профессиональное образование;4811;0;0;На складе
Методы и алгоритмы обработки данных. Учебное пособие;Григорьев Анатолий Алексеевич, Исаев Евгений Анатольевич;ИНФРА-М: Высшее образование. Бакалавриат;2782;4637;40;На складе
Python для программирования криптовалют;Сонг Джимми;Диалектика;4086;6810;40;На складе
Миллионы миллиардов. Как стартовать в игровой индустрии, работая удаленно, заработать денег;Михеенко Максим;Питер;774;992;22;На складе
Алгоритмы оптимизации;Кохендерфер Майкл, Уилер Тим;Вильямс;4840;8066;40;Ограничено
Сводные таблицы в Microsoft Excel 2019;Джелен Билл, Александер Майкл;Вильямс;4840;8066;40;Ограничено
Google BigQuery. Всё о хранилищах данных, аналитике и машинном обучении;Лакшманан Валиаппа, Тайджани Джордан;Питер: Бестселлеры O`Reilly;2661;3411;22;На складе
Мифический человеко-месяц, или Как создаются программные системы;Брукс Фредерик;Питер: Библиотека программиста;1710;2192;22;На складе
Agile-маркетинг в интернете;Бакунин Михаил Олегович;АСТ: # БизнесНаставник;785;1075;27;На складе
Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени;Полухин Антон;ДМК-Пресс;2009;3349;40;На складе
Excel для офисных работников. Справочник-практикум;Кильдишов Вячеслав Дмитриевич;Солон-пресс: Библиотека студента;1173;1955;40;На складе
Защита персональных данных в информационных системах. Практикум. Учебное пособие для вузов;Петренко Вячеслав Иванович, Мандрица Игорь Владимирович;Лань: Учебники для вузов. Специальная литература;1404;0;0;На складе
PHP и MySQL. 25 уроков для начинающих;Дронов Владимир Александрович;BHV: Для Начинающих;812;1353;40;Ограничено
Создание сайтов на основе WordPress. Учебное пособие;Сергеев Алексей Николаевич;Лань: Учебники для вузов. Специальная литература;2118;0;0;На складе
Векторная графика для дизайнеров;Гличка Вон;ДМК-Пресс;2177;3628;40;На складе
Введение в язык Pascal. Учебное пособие;Абрамов Владимир Геннадьевич и др.;Кнорус: Среднее профессиональное образование;1219;2032;40;Ограничено
ИТ-инфраструктура организации. Учебное пособие;Емельянов Виталий Александрович;Кнорус: Бакалавриат;1097;1828;40;Ограничено
BPF для мониторинга Linux;Калавера Дэвид, Фонтана Лоренцо;Питер: Бестселлеры O`Reilly;1460;1872;22;На складе
Интеллектуальные транспортные системы;Душкин Роман Викторович;ДМК-Пресс;1172;1953;40;На складе
Информатика для профессий и специальностей технического профиля. Курс лекций. Учебное пособие;Свириденко Юлия Валерьевна;Лань: Учебники для вузов. Специальная литература;1282;0;0;Ограничено
Технические средства автоматизации и управления на основе IIoT/IoT. Учебное пособие;Страшун Юрий Павлович;Лань: Учебники для вузов. Специальная литература;1785;0;0;На складе
Разработка и реализац.портальн.решений: Практикум;Лукьянов Павел Борисович, Маркова Светлана Владимировна;Прометей;592;1076;45;Ограничено
Транспортная логистика (линейное программирование). Учебное пособие;Пашков Николай Николаевич;Прометей;592;1076;45;На складе
Управление информационными системами. (Бакалавриат). Учебное пособие;Исаев Георгий Николаевич, Роганов Андрей Арьевич;Кнорус: Бакалавриат;1158;1930;40;Ограничено
Генетические алгоритмы на Python;Вирсански Эйял;ДМК-Пресс;2177;3628;40;На складе
C#. Основы программирования. Учебное пособие;Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич;Лань: Учебники для вузов. Специальная литература;3404;0;0;На складе
HTML и CSS. 25 уроков для начинающих;Дронов Владимир Александрович;BHV: Для Начинающих;758;1263;40;Ограничено
Организация статистической деятельности в России. Учебник;Романцева Юлия Николаевна;Лань: Учебники для вузов. Специальная литература;1202;0;0;На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;Залогова Любовь Алексеевна;Лань: Учебники для вузов. Специальная литература;1311;0;0;Ограничено
Статистические методы математического моделирования, анализа и оптимизации технологических процессов;Пен Роберт Зусьевич, Пен Владимир Робертович;Лань: Учебники для вузов. Специальная литература;4818;0;0;На складе
Структуры и алгоритмы обработки данных. Учебник;Павлов Леонид Александрович, Первова Наталия Викторовна;Лань: Учебники для вузов. Специальная литература;1837;0;0;Ограничено
Теория информации. Учебник для СПО;Попов Игорь Юрьевич, Блинова Ирина Владимировна;Лань: Учебники для вузов. Специальная литература;1808;0;0;На складе
Конкретная математика. Математические основы информатики;Кнут Дональд Эрвин и др.;Вильямс;4840;8066;40;На складе
Основы статистического обучения. Интеллектуальный анализ данных, логический вывод и прогнозирование;Хасти Тревор и др.;Вильямс;4086;6810;40;На складе
Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go;Цукалос Михалис;Питер: Для профессионалов;4427;5676;22;На складе
Istio. Приступаем к работе;Калькот Ли, Бутчер Зак;ДМК-Пресс;1676;2793;40;На складе
Азы кибергигиены. Методологические и правовые аспекты;Сафронов Евгений Валерьевич;Проспект;168;305;45;Ограничено
Проектирование веб-API;Лоре Арно;ДМК-Пресс;2009;3349;40;На складе
V-Ray для Autodesk Maya. Руководство по визуализации;Чехлов Дмитрий Анатольевич;ДМК-Пресс;2429;4049;40;На складе
Обучение с подкреплением на PyTorch. Сборник рецептов. Свыше 60 рецептов проектирования, разработки;Юси (Хэйден) Лю;ДМК-Пресс;1676;2793;40;На складе
Информационные технологии в профессиональной деятельности. Учебник;Ниматулаев Магамедхан Магомедович;ИНФРА-М: Высшее образование. Бакалавриат;1452;2420;40;На складе
Моделирование в OpenSCAD на примерах. Учебное пособие;Башкатов Александр Майорович;ИНФРА-М: Среднее профессиональное образование;1839;3065;40;На складе
Все лгут. Поисковики, Big Data и Интернет знают о вас все;Стивенс-Давидовиц Сет;Бомбора: Бомборий. Новый элемент знаний;408;559;27;На складе
Системные аспекты методов имитационного моделирования. Учебное пособие;Иванус Александр Иванович;Прометей;444;807;45;На складе
Теория правовового регулирования искусственного интеллекта, роботов и объектов робототехники в РФ;Ручкина Гульнара Флюровна и др.;Прометей;887;1613;45;На складе
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту;Крон Джон и др.;Питер: Библиотека программиста;1700;2179;22;Ограничено
Глубокое обучение с подкреплением. AlphaGo и другие технологии;Лапань Максим;Питер: Для профессионалов;2694;3454;22;На складе
Чистый Agile. Основы гибкости;Мартин Роберт С.;Питер: Библиотека программиста;1715;2199;22;На складе
Spring Boot 2. Лучшие практики для профессионалов;Гутьеррес Фелипе;Питер: Библиотека программиста;2722;3490;22;На складе
Python. Искусственный интеллект, большие данные и облачные вычисления;Дейтел Пол Дж., Дейтел Харви;Питер: Для профессионалов;3431;4399;22;Ограничено
Эволюционные нейросети на языке Python;Омельяненко Ярослав;ДМК-Пресс;2009;3349;40;На складе
Алгоритмы обучения с подкреплением на Python;Лонца Андреа;ДМК-Пресс;2009;3349;40;На складе
Цифровой синтез. Практический курс;Романов А. Ю. и др.;ДМК-Пресс;2345;3908;40;На складе
Основы работы с технологией Bluetooth Low Energy. Учебное пособие для вузов;Калачев Александр Викторович и др.;Лань: Учебники для вузов. Специальная литература;4576;0;0;Ограничено
Применение CALS технологий на предприятии. Лабораторная работа;Юрчик Петр Францевич и др.;Лань: Учебники для вузов. Специальная литература;1706;0;0;На складе
Применение CALS технологий на предприятии. Учебное пособие;Юрчик Петр Францевич, Голубкова Валентина Борисовна;Лань: Учебники для вузов. Специальная литература;1618;0;0;Ограничено
Системное программирование. Лабораторные работы. Учебное пособие;Жулабова Фатима Тахировна;Лань: Учебники для вузов. Специальная литература;1592;0;0;На складе
Unix и Linux. Руководство системного администратора;Немет Эви и др.;Вильямс;6451;10752;40;На складе
Программист-прагматик;Томас Дэвид, Хант Эндрю;Диалектика;3227;5378;40;На складе
Параллельное программирование на C++ с помощью библиотеки TBB;Восс Майкл и др.;ДМК-Пресс;3350;5583;40;На складе
Предметно-ориентированное проектирование в Enterprise Java;Наир Виджей;ДМК-Пресс;2177;3628;40;Ограничено
Про криптографию. Символ - машина - квант;Де Касто Виктор;Страта: Просто;806;1344;40;Ограничено
Pro Вирусы. Версия 4.0;Холмогоров Валентин;Страта: Просто;1111;1851;40;На складе
Medical Informatics. Textbook;Омельченко Виталий Петрович, Демидова Александра Александровна;ГЭОТАР-Медиа;1790;2983;40;На складе
Основы технологий баз данных. Учебное пособие;Новиков Борис Асенович и др.;ДМК-Пресс;2177;3628;40;На складе
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel;Феррари Альберто, Руссо Марко;ДМК-Пресс;1758;2930;40;На складе
Распределенные системы реального времени. Теория и практика;Эрджиес Кайхан;ДМК-Пресс;2009;3349;40;На складе
Операционные системы. Внутренняя структура и принципы проектирования;Столлингс Вильям;Диалектика;6451;10752;40;На складе
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android;Льюис Шон, Данн Майк;ДМК-Пресс;2177;3628;40;На складе
Mongo DB. Полное руководство. Мощная и масштабная система управления базами данных;Брэдшоу Шэннон и др.;ДМК-Пресс;2931;4885;40;На складе
Паттерны объектно-ориентированного проектирования;Гамма Э. и др.;Питер: Библиотека программиста;1072;1374;22;На складе
Проектирование объёмных интегральных структур СВЧ и КВЧ;Курушин Александр Александрович и др.;Солон-пресс: Системы проектирования;2213;3688;40;На складе
Применение пакета Matlab и Simulink для анализа электрических цепей. Том 1. Практикум;Фриск Валерий Владимирович и др.;Солон-пресс: Библиотека студента;1173;1955;40;На складе
Проектирование и эксплуатация интегрированных автоматизированных систем управления. Лабораторный пр.;Юрчик Петр Францевич и др.;Лань: Учебники для вузов. Специальная литература;1640;0;0;На складе
Проектирование и эксплуатация интегрированных автоматизированных систем управления. Учебное пособие;Юрчик Петр Францевич, Голубкова Валентина Борисовна;Лань: Учебники для вузов. Специальная литература;2198;0;0;На складе
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие;Иванько Александр Федорович, Иванько Михаил Александрович;Лань: Учебники для вузов. Специальная литература;1311;0;0;На складе
Управление памятью в .NET для профессионалов;Кокоса Конрад;ДМК-Пресс;3434;5723;40;На складе
Это не пропаганда. Хроники мировой войны с реальностью;Померанцев Питер;Individuum;534;731;27;На складе
Компьютерный дизайн. Векторная графика. Учебно-методическое пособие;Зиновьева Елена Алексеевна;Флинта;470;784;40;На складе
Администрирование системы защиты SELinux;Вермейлен Свен;ДМК-Пресс;2009;3349;40;На складе
Информатизация общества. Учебное пособие;Украинцев Юрий Дмитриевич;Лань: Учебники для вузов. Специальная литература;2077;0;0;На складе
DWDM-SCM-PON-сети. Монография;Варданян Вардгес Андраникович;Лань: Учебники для вузов. Специальная литература;2404;0;0;Ограничено
Информатика. Практические работы. Учебное пособие;Алексеев Владимир Анатольевич;Лань: Учебники для вузов. Специальная литература;2834;0;0;Ограничено
Исследование операций и методы оптимизации. Учебное пособие;Болотский Александр Владимирович, Кочеткова Ольга Анатольевна;Лань: Учебники для вузов. Специальная литература;722;0;0;Ограничено
