Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Размер скидки, %;Наличие на складе
Технология проектирования информационных систем. Учебное пособие;Трусов Александр Владимирович, Трусов Владимир Александрович;Инфра-Инженерия;896;1493;40;На складе
Алгоритмы биоинформатики;Компо Филлип, Певзнер Павел;ДМК-Пресс;4020;6700;40;На складе
Предварительная подготовка данных в Python. Том 1. Инструменты и валидация;Груздев Артем Владимирович;ДМК-Пресс;4020;6700;40;На складе
Предварительная подготовка данных в Python. Том 2. План, примеры и метрики качества;Груздев Артем Владимирович;ДМК-Пресс;4020;6700;40;На складе
Прогнозирование. Принципы и практика;Хайндман Роб, Атанасопулос Джордж;ДМК-Пресс;3016;5026;40;На складе
Рендеринг в реальном времени в Blender;Краудер Сэмми;ДМК-Пресс;3016;5026;40;На складе
Использование программного компилятора Cisco Packet Tracer v.7.3;Митюшин Дмитрий Алексеевич;РГГУ;983;1639;40;На складе
Прикладные нейро-нечеткие вычислительные системы и устройства;Бобырь Максим Владимирович и др.;ИНФРА-М: Научная мысль;1936;3226;40;На складе
ЭВМ и периферийные устройства. Учебное пособие;Лянг Виктор Федорович;ИНФРА-М: Высшее образование. Бакалавриат;3532;5887;40;На складе
Машинное обучение. Портфолио реальных проектов;Григорьев Алексей;Питер: Библиотека программиста;3106;3982;22;На складе
Красивый C++. 30 главных правил чистого, безопасного и быстрого кода;Дэвидсон Дж. Гай, Грегори Кейт;Питер: Для профессионалов;2823;3619;22;На складе
Глубокое обучение с R и KERAS;Шолле Франсуа;ДМК-Пресс;3350;5583;40;На складе
Power BI. Передовые методы оптимизации;Мерчант Бхавик;ДМК-Пресс;2345;3908;40;На складе
Разработка веб-приложений GraphQL с React, Node.js и Neo4j;Лион Уильям;ДМК-Пресс;2512;4187;40;На складе
Хакеры. Как молодые гики провернули компьютерную революцию и изменили мир раз и навсегда;Леви Стивен;Бомбора: IT бестселлер;1013;1388;27;На складе
Математика и анализ данных с поддержкой MS Excel и языка R. Учебное пособие;Седых Ирина Юрьевна и др.;Прометей;2070;3764;45;На складе
ИТ-стандарты. Учебное пособие для студентов;Емельянова Наталия Юрьевна, Емельянов Виталий Александрович;Прометей;887;1613;45;На складе
Интернет-коммуникации в глобальном пространстве современного политического управления;Володенков Сергей Владимирович;Проспект;841;1529;45;На складе
Основы алгоритмизации и программирования на Python. Учебное пособие;Гуриков Сергей Ростиславович;ИНФРА-М: Высшее образование. Бакалавриат;3210;5350;40;На складе
Информационные технологии в профессиональной деятельности. Учебник и практикум;Муромцев Валерий Валентинович, Муромцева Анна Валерьевна;Инфра-Инженерия;1310;2184;40;На складе
Бизнес-планирование. Практикум с использованием программы Project Expert. Учебное пособие;Алиев Вагиф Судеиф Оглы;ИНФРА-М: Высшее образование. Бакалавриат;2177;3629;40;На складе
Unity в действии. Мультиплатформенная разработка на C#;Хокинг Джозеф;Питер: Для профессионалов;2070;2654;22;На складе
Объекты. Стильное ООП;Нобак Маттиас;Питер: Библиотека программиста;2114;2710;22;На складе
Криминалистика компьютерной памяти на практике. Как эффективно анализировать оперативную память;Островская Светлана, Скулкин Олег;ДМК-Пресс;2345;3908;40;На складе
Красим персонажей в Photoshop. Пошаговые мастер-классы от художницы вебтунов;Solraka;Питер: Рисование для начинающих;1696;2174;22;На складе
Криптографические методы и средства обеспечения информационной безопасности;Варлатая Светлана Климентьевна, Шаханова Марина Владимировна;Проспект;379;689;45;На складе
Kafka Streams и ksqlDB. Данные в реальном времени;Сеймур Митч;Питер: Библиотека программиста;2397;3073;22;На складе
Алгоритмы на практике. Решение реальных задач;Зингаро Даниэль;Питер: Библиотека программиста;2057;2637;22;На складе
Современная программная инженерия. ПО в эпоху эджайла и непрерывного развертывания;Фарли Дэвид;Питер: Для профессионалов;2340;3000;22;На складе
Внутри Cpython. Гид по интерпретатору Python;Шоу Энтони;Питер: Библиотека программиста;1972;2528;22;На складе
Визуализация данных. Полный и исчерпывающий курс для начинающих;Манцнер Тамара;Бомбора: Библиотека цифровой трансформации;1862;2551;27;На складе
Управление потоками работ. Модели, методы и системы;Ван дер Аалст Вил, ван Хей Кейс;Физматлит: Информационные и компьютерные технологии;776;1294;40;Ограничено
Квантово-устойчивый блокчейн. Как обеспечить безопасность блокчейн-экосистем и платформ;Петренко Алексей Сергеевич;Питер;1348;1728;22;На складе
40 алгоритмов, которые должен знать каждый программист на Python;Ахмад Имран;Питер: Библиотека программиста;1951;2501;22;На складе
Грокаем функциональное мышление;Норманд Эрик;Питер: Библиотека программиста;2552;3272;22;На складе
Методы цифровой обработки и распознавания речи. Монография;Шишкин Алексей Геннадиевич;ИНФРА-М: Научная мысль;2629;4382;40;На складе
Современные алгоритмы оптимизации. Учебное пособие;Карпенко Анатолий Павлович;Издательство МГТУ им. Н.Э.Баумана;976;1627;40;Ограничено
Введение в информационную безопасность автоматизированных систем;Бондарев Валерий Васильевич;Издательство МГТУ им. Н.Э.Баумана;1025;1708;40;На складе
Подготовка машиностроительных чертежей. Учебное пособие;Акинин Дмитрий Вячеславович, Васильева Карина Вениаминовна;Издательство МГТУ им. Н.Э.Баумана;651;1085;40;На складе
Мультиагентное обучение с подкреплением. Учебное пособие;Алфимцев Александр Николаевич;Издательство МГТУ им. Н.Э.Баумана;1301;2169;40;На складе
